Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
QB,Boise State,74,210,4.91,33,,116,7.1,4.29,N
P,Boise State,78,187,5.14,,,,,,N
OT,Boise State,79,301,5.26,32.5,26,107,8.07,4.6,N
CB,Boston Col.,69,169,4.52,39,8,122,6.96,4.25,N
S,Boston Col.,71,190,4.64,33.5,16,116,6.89,4.09,N
EDGE,Boston Col.,75,257,4.83,34,25,118,7.34,4.31,N
DE,Boston Col.,78,284,5.1,29.5,25,108,7.55,4.62,N
DT,Boston Col.,74,291,4.91,34.5,22,117,7.32,4.27,N
P,Bowling Green,79,232,,,,,,,N
WR,Bowling Green,73,201,4.57,33.5,8,116,,,N
P,Bucknell,73,213,4.69,34,13,,,,N
OT,Bucknell,79,318,5.45,27,18,106,7.57,4.69,N
QB,Buffalo,79,249,4.59,34.5,,120,7.09,4.28,N
WR,Buffalo,74,209,,32.5,18,122,7.12,,N
ILB,BYU,74,251,,33,23,118,7,4.32,N
OLB,BYU,77,238,4.73,34.5,18,118,6.83,4.15,N
LS,California,74,243,5.3,25.5,,99,,,N
TE,California,74,230,4.59,38,16,119,,,N
WR,Central Arkansas,76,214,4.58,33.5,16,119,7.11,4.28,N
WR,Central Florida,74,203,4.49,37.5,12,130,6.97,4.5,N
CB,Central Florida,73,179,4.64,34,,123,6.97,4.26,N
WR,Central Florida,73,198,4.6,41,16,132,6.86,4.15,N
CB,Central Michigan,71,187,4.48,37.5,11,,,,N
QB,Central Michigan,75,228,4.93,27,,105,7.23,4.47,N
WR,Central Michigan,73,196,4.51,32.5,,119,7.14,4.28,N
RB,Central Michigan,69,215,4.65,35.5,15,116,,,N
DL,Charleston,77,286,4.69,33.5,22,116,7.03,4.38,N
OG,Charleston Southern,75,301,5.23,27.5,24,107,8.13,4.9,N
RB,Charlotte,68,221,4.75,28.5,24,112,,,N
RB,Cincinnati,69,226,,,16,,,,N
WR,Cincinnati,73,190,4.54,31.5,8,123,,,N
WR,Cincinnati,76,207,4.55,35,12,123,7.08,4.63,N
CB,Clemson,70,192,4.37,,18,,,,N
DL,Clemson,75,305,5.12,25.5,35,101,7.84,4.84,N
OT,Clemson,77,303,,25.5,28,102,7.72,4.52,N
LB,Clemson,73,233,,,25,,,,N
LB,Clemson,75,253,,,,,,,N
OG,Clemson,76,320,5.45,24,18,96,7.84,4.8,N
S,Clemson,71,185,4.61,29.5,,,,,N
ILB,Clemson,73,238,,29.5,20,111,7.02,4.43,N
S,Clemson,73,206,4.6,33,19,119,6.9,4.2,N
WR,Clemson,70,193,4.61,31,13,116,7.19,4.49,N
DE,Clemson,76,282,4.8,,22,,,,N
DE,Clemson,77,299,5.01,33,,110,7.64,4.65,N
CB,Clemson,73,191,4.61,32.5,7,119,6.8,4,N
RB,Coastal Carolina,67,208,4.48,34,20,120,,,N
C,Coastal Carolina,74,292,4.97,,,,,,N
WR,Colorado,73,198,4.65,33.5,14,119,7.21,4.27,N
QB,Colorado,76,231,4.68,33,,117,7.25,4.43,N
S,Colorado,74,212,4.63,33.5,17,121,7.07,4.37,N
QB,Colorado,75,232,5.08,27,,105,7.32,4.45,N
CB,Colorado,73,187,4.43,36.5,,119,,,N
OT,Colorado,79,322,5.39,26.5,32,103,8.55,5.15,N
WR,Colorado,73,206,4.69,35,12,114,7.09,4.2,N
ILB,Colorado State,74,235,4.91,30.5,11,110,7.18,4.38,N
P,Colorado State,73,212,,,,,,,N
CB,Colorado State,73,188,4.55,41,,125,6.93,3.94,N
OLB,Colorado State,73,225,4.95,29,16,107,7.38,4.37,N
RB,Colorado State,67,199,4.8,33,,113,7.2,4.38,N
K,Colorado State,73,210,5.02,,,,,,N
DT,Connecticut,76,318,5.29,30,33,112,7.44,4.53,N
WR,Connecticut,73,205,4.63,32.5,9,118,,,N
S,Delaware,73,206,,,,,,,N
CB,Dubuque,73,181,,34,17,,6.89,4.2,N
LB,Duke,74,234,4.75,29.5,17,111,,,N
TE,Duke,76,249,4.89,,14,,,,N
S,Duke,73,212,4.56,,,,,,N
P,Duke,76,212,5.1,,,,,,N
C,Duke,75,305,5.39,24,27,103,7.89,4.76,N
QB,Duke,73,231,5.03,26.5,,100,7.47,4.62,N
OT,Duke,76,310,5.19,30,23,101,8.09,4.79,N
WR,East Carolina,73,199,4.51,34.5,19,124,,,N
OLB,East Carolina,74,223,4.61,34,18,123,7.15,4.47,N
TE,East Carolina,78,257,4.94,29.5,19,111,7.19,4.53,N
QB,East Carolina,74,218,4.94,29.5,,104,7.17,4.45,N
WR,East Carolina,74,211,4.59,,12,,,,N
WR,East. Washington,73,203,4.68,34,9,125,6.73,4.21,N
S,East. Washington,71,195,4.63,33,19,112,7.01,4.26,N
OT,Elon,77,323,5.05,28.5,26,105,7.88,5.05,N
OT,Ferris State,79,338,5.16,27.5,26,89,8.34,5.28,N
P,Florida,73,191,4.75,,,,,,N
S,Florida,71,210,4.48,36,17,117,7.03,4.2,N
OL,Florida,77,315,,,,,,,N
EDGE,Florida,73,266,5.02,30.5,17,108,7.5,4.53,N
OL,Florida,79,326,,,,,,,N
K,Florida,73,185,,,,,,,N
DE,Florida,75,265,4.89,26.5,16,109,7.36,4.46,N
TE,Florida,77,250,4.83,,17,,,,N
P,Florida,74,202,4.93,,,,,,N
OLB,Florida,75,261,4.6,32.5,19,112,7.4,4.32,N
DT,Florida,77,323,5.16,28,,100,8.26,4.9,N
CB,Florida Atlantic,73,183,4.59,33.5,,123,7.02,,N
LB,Florida Atlantic,73,234,,,16,,,,N
WR,Florida Atlantic,71,160,4.55,31.5,,120,7,4.31,N
CB,Florida State,73,187,4.65,,,,,,N
WR,Florida State,70,191,4.63,34,8,113,7.2,4.4,N
CB,Florida State,74,198,4.67,38.5,,121,,,N
OLB,Florida State,76,246,4.65,38.5,,122,,,N
OLB,Florida State,75,232,4.58,41.5,,131,6.85,4.28,N
WR,Florida State,73,189,4.65,31.5,12,114,6.93,4.46,N
FB,Florida State,73,234,4.75,28,24,111,7.65,4.45,N
WR,Florida State,68,185,4.44,32.5,8,120,7.17,4.37,N
WR,Florida State,69,189,4.57,,10,119,,4.57,N
S,Florida State,73,206,4.76,33,14,114,7.08,4.33,N
NT,Florida State,73,320,5.24,,,,,,N
DE,Florida State,77,285,4.94,30,20,114,7.53,4.78,N
ILB,Florida State,75,235,4.77,34.5,19,120,,,N
OG,Florida State,77,309,5.52,17.5,,84,8.19,5.12,N
LB,Fresno State,71,228,4.82,31,12,115,7.2,4.45,N
S,Fresno State,75,210,4.83,30,10,118,7.1,4.46,N
WR,Fresno State,73,191,4.64,32,13,108,7.15,4.36,N
K,Georgia,73,190,,,,,,,N
WR,Georgia,77,220,,,,,,,N
RB,Georgia,71,209,4.62,38.5,18,126,7.12,4.4,N
S,Georgia,73,202,4.54,34,15,130,,,N
RB,Georgia,70,217,4.78,29.5,26,118,,,N
DL,Georgia,76,280,5.14,26.5,22,108,,,N
DT,Georgia,76,321,5.38,24,,89,7.95,4.75,N
EDGE,Georgia,77,255,,,15,,,,N
S,Georgia,73,193,,,14,,,,N
DT,Georgia,76,288,5.06,32.5,,111,7.68,4.56,N
DE,Georgia,76,285,5.23,30,20,111,7.46,4.73,N
FB,Georgia,73,259,4.82,,,,,,N
NT,Georgia,75,338,5.34,23.5,33,104,,5.13,N
CB,Georgia State,71,195,4.6,40.5,15,134,,4.36,N
WR,Harding,73,211,4.4,34,17,118,7.51,4.5,N
TE,Harvard,75,250,4.73,35.5,20,121,6.9,4.2,N
OLB,Harvard,74,250,4.68,33.5,,125,,4.65,N
WR,Houston,71,186,,,10,,,,N
DT,Houston,75,313,5.54,22.5,,97,8.2,5.01,N
P,Idaho,75,214,,,,,,,N
OG,Idaho State,75,318,5.1,29,,104,7.95,4.69,N
DT,Illinois,74,301,,,23,,,,N
ILB,Illinois,73,232,4.78,33,18,116,,4.38,N
OLB,Illinois,75,242,4.64,30,23,123,7.06,4.37,N
WR,Illinois,75,196,4.67,33,,127,7.4,4.28,N
RB,Illinois,69,198,4.48,34.5,21,120,,,N
RB,Illinois State,69,219,4.64,40,24,125,7.03,4.19,N
OG,Illinois State,77,312,5.44,25.5,18,100,8.02,4.75,N
RB,Illinois State,68,207,4.47,34,17,112,7.26,4.58,N
S,Indiana,73,205,,31.5,16,115,,,N
LS,Indiana,76,241,5,34.5,16,118,7.56,4.55,N
OT,Indiana,76,314,,,,,,,N
WR,Indiana,75,220,4.64,30,11,113,6.7,4.32,N
CB,Indiana,70,175,,,,,,,N
ILB,Indiana,73,230,4.77,,27,,,,N
RB,Indiana,68,205,4.76,30.5,16,116,7.18,4.46,N
DT,Indiana,76,311,5.32,29,,100,7.76,4.63,N
DT,Indiana,75,283,5.16,32.5,,106,7.57,4.41,N
S,Indiana (PA),73,205,4.69,,15,,,,N
OG,Indiana (PA),74,322,5.36,24.5,26,99,8.02,4.88,N
RB,Iowa,70,194,4.54,32,12,,,,N
C,Iowa,75,306,5.43,25,20,103,7.9,4.81,N
K,Iowa,73,197,4.61,,,,,,N
S,Iowa,70,202,4.75,36,8,120,7.18,4.15,N
DE,Iowa,76,273,4.88,,,,,,N
DT,Iowa,73,290,4.96,32,,105,7.4,4.3,N
LS,Iowa State,76,235,4.76,26,,120,7.12,4.28,N
WR,Iowa State,77,227,4.55,38,17,122,,,N
TE,Iowa State,74,258,4.88,,20,,,,N
EDGE,Jacksonville State,75,242,4.87,26.5,21,113,7.52,,N
RB,Jacksonville State,70,198,4.56,35.5,16,125,,,N
DT,Jacksonville State,75,298,5.15,25,23,,7.9,4.97,N
S,James Madison,73,203,4.58,33.5,16,114,7,4.18,N
LB,Kansas,75,245,4.59,28,13,121,7.2,4.46,N
DL,Kansas,75,281,5.28,27.5,22,112,7.53,4.37,N
EDGE,Kansas,76,257,4.87,30,20,118,7.12,4.23,N
P,Kansas,76,227,5.12,,,,,,N
RB,Kansas State,73,226,4.59,38.5,34,126,6.95,4.1,N
WR,Kansas State,73,203,4.46,33.5,15,120,6.87,4.4,N
FB,Kansas State,74,239,4.71,33,17,120,7.1,4.45,N
C,Kansas State,76,318,5.25,24,20,99,,4.76,N
CB,Kentucky,74,197,,38.5,10,127,7.06,4.31,N
TE,Kentucky,76,249,,,,,,,N
LB,Kentucky,74,234,4.62,32.5,23,123,,4.37,N
RB,Kentucky,70,224,4.66,29.5,16,119,7.07,4.33,N
S,Kentucky,71,208,4.39,33.5,19,113,,,N
C,Kentucky,77,307,5.51,25.5,21,100,8.09,4.84,N
RB,Kentucky,67,190,4.51,36,18,121,6.86,4.18,N
S,Kentucky,71,193,4.79,33,15,115,7.17,4.25,N
RB,Kentucky,70,198,4.63,30.5,19,116,7.19,4.4,N
OT,Kentucky,77,307,5.51,25,,97,7.91,4.87,N
K,La-Monroe,75,196,4.93,,,,,,N
WR,Lafayette,73,204,4.62,33,15,121,7.08,4.11,N
K,Liberty,73,214,4.74,,,,,,N
QB,Liberty,75,231,4.8,31,,116,6.74,4.31,N
ILB,Lindenwood,71,242,4.73,33,18,114,7.13,4.31,N
CB,Louisiana St,73,171,4.49,35.5,,121,,,N
S,Louisiana-Lafayette,74,200,4.51,33,14,119,7,4.28,N
WR,Louisville,74,219,4.47,34.5,14,122,7.55,4.48,N
EDGE,Louisville,75,239,4.89,,22,,,,N
OLB,Louisville,74,236,4.72,34,,124,7.4,4.5,N
TE,Louisville,76,247,,,20,,,,N
ILB,Louisville,73,233,4.92,29.5,23,112,7.28,4.56,N
WR,Louisville,73,186,4.6,31,11,115,7,4.39,N
WR,Louisville,75,195,4.51,36,,130,,,N
RB,Louisville,74,234,4.63,,17,,,,N
RB,Louisville,68,218,4.58,34,26,120,,,N
LB,LSU,74,242,4.85,31,14,115,,,N
TE,LSU,74,250,,,,,,,N
S,LSU,73,201,4.67,29.5,,120,7.09,4.33,N
RB,LSU,71,209,4.72,35.5,15,118,7.38,4.44,N
K,LSU,70,184,,,,,,,N
WR,LSU,75,199,4.34,40,16,129,,,N
OG,LSU,76,303,5.34,29.5,15,103,,,N
CB,LSU,75,204,,33,10,120,,,N
OT,LSU,76,317,5.34,24.5,28,106,8.55,5.38,N
RB,LSU,73,225,4.72,32,22,109,,4.21,N
OLB,LSU,77,250,4.82,31.5,20,121,7.2,4.37,N
WR,LSU,73,202,4.57,30.5,,116,7.29,4.55,N
OT,LSU,76,305,5.1,27,21,108,7.7,4.63,N
RB,LSU,68,213,4.62,37,22,115,7.52,4.37,N
WR,Malone University (Ohio),73,215,4.43,38,13,121,7,4.22,N
WR,Marshall,75,211,,32,12,117,,4.25,N
S,Marshall,73,209,4.63,34.5,17,114,7.45,4.3,N
QB,Marshall,77,230,4.9,29.5,,106,7.49,4.53,N
RB,Marshall,73,238,4.64,,,,,,N
RB,Maryland,73,215,4.65,34,,125,,,N
CB,Maryland,71,193,4.46,35.5,14,120,,,N
CB,Maryland,67,180,,,15,,,,N
K,Maryland,73,186,4.88,,,,,,N
OLB,Maryland,74,248,4.8,,25,,,,N
WR,Maryland,73,192,4.51,34,12,120,6.98,4.27,N
TE,Massachusetts,77,245,4.84,33,,114,7.5,4.6,N
RB,Memphis,73,217,4.57,34,15,123,,4.34,N
OL,Memphis,74,293,,,22,,,,N
QB,Memphis,75,212,4.98,29,,110,6.96,4.4,N
CB,Memphis,70,189,4.62,34.5,18,120,,,N
OG,Memphis,76,303,5.57,23.5,22,90,7.9,4.65,N
CB,Miami,68,180,4.5,,10,,,,N
DL,Miami,75,248,4.89,28,,113,,,N
LB,Miami,71,235,,,,,,,N
WR,Miami,69,170,4.45,36.5,,125,,,N
S,Miami (FL),70,191,4.69,33,18,121,,,N
DL,Miami (FL),74,302,,,,,,,N
K,Miami (FL),70,183,4.94,,,111,,,N
CB,Miami (FL),73,194,4.46,32.5,13,120,6.95,4.25,N
TE,Miami (FL),76,253,,,21,,,,N
OG,Miami (FL),78,311,5.35,23.5,26,97,7.72,4.82,N
S,Miami (FL),73,218,4.64,35,19,122,,,N
P,Miami (FL),76,219,4.7,34,,,,,N
DE,Miami (FL),77,295,5.01,25,26,106,7.32,4.58,N
ILB,Miami (FL),73,236,4.72,,27,,,,N
WR,Miami (FL),73,199,4.54,32.5,17,116,,,N
S,Miami (FL),73,202,4.62,33.5,12,108,7.18,4.41,N
OT,Miami (OH),77,316,,25,23,97,,,N
CB,Michigan,70,190,,,21,,,,N
TE,Michigan,77,242,,,18,,,,N
QB,Michigan,73,212,4.71,31,,116,7.14,4.5,N
RB,Michigan,69,206,4.49,34,21,123,,,N
CB,Michigan,71,196,4.45,39.5,15,120,6.45,3.97,N
LB,Michigan,71,227,4.45,39.5,15,120,,,N
DT,Michigan,74,292,,,,,,,N
ILB,Michigan,76,243,4.76,31.5,16,119,7.09,4.25,N
OG,Michigan,78,329,5.04,28,25,102,7.85,4.9,N
RB,Michigan,71,223,,29,22,108,7.3,4.56,N
CB,Michigan,73,188,4.6,31.5,5,114,6.94,4.56,N
LB,Michigan State,73,230,4.67,33.5,26,119,6.93,4.34,N
QB,Michigan State,74,213,4.95,31,,113,7.14,4.4,N
WR,Michigan State,73,212,,35,15,117,,,N
WR,Michigan State,75,217,4.66,35.5,,120,7.19,4.52,N
DL,Michigan State,76,308,5.04,25.5,17,101,7.72,4.78,N
WR,Michigan State,75,211,,,21,,,,N
RB,Michigan State,73,227,,33,21,120,7.27,4.34,N
ILB,Michigan State,74,226,,31.5,20,116,,,N
C,Michigan State,73,294,5.29,26.5,23,101,7.9,4.73,N
DT,Michigan State,77,293,5.02,33,26,113,7.44,4.52,N
DT,Michigan State,75,286,4.98,35,,113,,,N
S,Michigan State,73,208,4.65,39.5,,119,7.09,4.33,N
ILB,Michigan State,75,245,4.95,32,19,115,7.25,4.33,N
WR,Middle Tennessee State,70,183,4.48,35.5,6,122,6.87,4.16,N
OT,Minnesota,77,335,,,,,,,N
QB,Minnesota,75,226,4.93,34.5,,123,6.96,4.25,N
S,Minnesota,73,206,,32.5,13,115,7.08,4.28,N
CB,Minnesota,69,193,4.47,35,10,123,7.16,4.22,N
DL,Mississippi,75,308,5.21,27,22,99,8.07,4.82,N
DL,Mississippi,73,316,5.26,26.5,,,8.21,5.27,N
RB,Mississippi,68,209,4.56,30,29,114,7.4,4.53,N
DL,Mississippi,75,261,4.83,31.5,28,115,,,N
WR,Mississippi,74,202,4.55,33.5,11,119,7.06,4.53,N
QB,Mississippi,75,221,4.77,27.5,,109,7.06,4.36,N
S,Mississippi,71,205,4.29,34.5,19,122,7,4.15,N
WR,Mississippi,75,197,4.42,34.5,8,123,6.73,4.14,N
DE,Mississippi,76,273,4.94,34,19,115,7.24,4.44,N
ILB,Mississippi,73,234,4.81,,,,,4.52,N
S,Mississippi,74,208,4.6,35,11,125,7.12,4.23,N
WR,Mississippi State,75,201,4.47,34,,125,7.31,4.46,N
DL,Mississippi State,74,262,4.97,30.5,20,106,7.33,4.7,N
OL,Mississippi State,74,304,5.23,25.5,23,102,7.88,4.76,N
OL,Mississippi State,74,310,5.07,28.5,26,105,7.46,4.62,N
QB,Mississippi State,77,226,4.64,29.5,,115,,,N
S,Mississippi State,73,212,4.77,36,12,,,4.46,N
CB,Mississippi State,74,218,4.63,,,,,,N
WR,Mississippi State,73,213,4.51,35,10,113,6.99,4.28,N
OLB,Mississippi State,73,229,4.77,31,18,110,7.07,4.28,N
CB,Mississippi State,73,192,4.58,33.5,14,,,,N
WR,Mississippi State,77,224,4.85,28,,113,,,N
CB,Mississippi State,73,191,4.36,38,15,129,7.05,4.07,N
QB,Missouri,75,229,4.69,35,,125,7.33,4.51,N
OL,Missouri,75,313,,,11,,,,N
OL,Missouri,78,331,5.52,25,21,,,,N
LB,Missouri,74,234,4.92,32,,124,6.91,4.13,N
OT,Missouri,78,317,5.18,27,16,103,7.68,4.74,N
TE,Missouri,78,262,4.95,31,22,113,7.37,4.42,N
WR,Missouri,74,201,4.39,43.5,15,141,,,N
LB,Missouri,73,230,,,20,,,,N
WR,Missouri,75,207,4.6,38,21,120,6.56,4.04,N
LB,Montana,74,237,4.88,42,15,124,7,4.32,N
DE,Montana,75,247,4.81,37.5,14,109,7.07,4.26,N
OT,Morgan State,77,314,5.32,36,,109,8.07,4.75,N
CB,Murray State,73,200,4.57,35.5,15,120,,4.4,N
DL,Nebraska,75,311,5.18,27,21,109,7.75,4.93,N
CB,Nebraska,74,208,4.58,36.5,10,122,,,N
WR,Nebraska,73,202,4.53,38.5,14,125,6.78,4.13,N
K,Nebraska,70,208,,,,,,,N
OT,Nebraska,77,307,5.46,24,20,94,7.61,4.68,N
CB,Nebraska,73,195,4.57,,14,,,,N
S,Nebraska,73,195,4.58,41.5,17,134,,,N
TE,Nebraska,75,241,4.68,,19,,,,N
QB,Nevada,73,223,4.63,32.5,,118,6.95,4.1,N
LB,New Mexico State,74,242,4.98,35.5,21,118,,,N
DE,Norfolk State,79,269,4.91,32.5,24,117,7.32,4.48,N
EDGE,North Carolina,74,251,4.73,33,25,113,7.4,,N
OT,North Carolina,78,313,5.27,30.5,23,111,8.01,5,N
WR,North Carolina,76,221,4.58,37.5,,119,6.95,4.14,N
OG,North Carolina,76,330,5.58,19,30,88,,,N
EDGE,North Carolina A&T,78,253,,,20,,,,N
OT,North Carolina State,75,306,,31.5,23,111,7.75,4.82,N
WR,North Carolina State,74,203,4.63,37,13,118,7.07,4.23,N
TE,North Carolina State,77,248,4.9,29.5,,106,,,N
RB,North Carolina State,73,217,4.75,31,12,116,6.85,4.21,N
QB,North Dakota State,73,224,4.62,33.5,,118,6.65,4.05,N
OLB,North Dakota State,75,251,4.85,29.5,18,112,7.09,4.23,N
RB,North Dakota State,73,217,4.62,40,15,125,7.15,4.25,N
DL,North Texas,74,262,4.89,30,27,114,7.66,4.49,N
RB,North Texas,71,210,,,15,,,,N
WR,Northern Arizona,75,217,,36,11,115,,4.22,N
WR,Northern Colorado,73,190,4.45,38.5,13,125,7.4,4.44,N
OT,Northern Illinois,78,327,,28,27,108,7.77,4.69,N
EDGE,Northern Illinois,73,233,4.69,31.5,25,118,6.75,4.32,N
CB,Northern Iowa,74,199,4.68,37,,127,7.07,4.06,N
LB,Northwestern,74,225,,,,,,,N
CB,Northwestern,71,190,4.68,34.5,9,123,6.95,4.08,N
S,Northwestern,73,205,4.44,35.5,19,128,6.56,4.12,N
WR,Northwestern St. (LA),77,227,4.45,37,8,123,7.25,4.59,N
S,Notre Dame,73,205,4.8,34,15,125,6.87,4.3,N
WR,Notre Dame,69,186,4.57,40,7,,,,N
RB,Notre Dame,70,220,4.68,32.5,13,119,7.18,4.21,N
OL,Notre Dame,78,312,,,,,,,N
LB,Notre Dame,73,234,,,,,,,N
RB,Notre Dame,74,213,,,18,,,,N
DT,Notre Dame,78,316,5.33,20.5,22,,,,N
WR,Notre Dame,74,194,4.48,,,,,,N
DE,Notre Dame,77,265,4.9,33,23,120,7.38,4.53,N
S,Notre Dame,73,216,4.58,33,18,119,,4.51,N
K,Notre Dame,73,236,5.17,,14,,,,N
WR,Notre Dame,73,201,4.62,37,13,122,,,N
WR,Ohio State,73,208,4.59,31.5,,117,,4.42,N
WR,Ohio State,76,198,4.6,35,9,128,7.1,,N
WR,Ohio State,70,201,4.41,37.5,16,120,,4.43,N
QB,Ohio State,73,224,4.7,30,,108,7.38,4.44,N
TE,Ohio State,75,247,4.81,33,,117,7.28,4.51,N
S,Ohio State,71,195,4.62,,17,,,,N
ILB,Ohio State,74,238,4.86,29.5,15,,,,N
P,Ohio State,71,194,4.92,,,,,,N
WR,Ohio State,70,200,4.6,37.5,16,125,6.8,4.13,N
S,Ohio State,75,211,4.46,34.5,15,120,7.03,4.25,N
RB,Oklahoma,74,248,4.83,30.5,17,109,7.45,4.53,N
CB,Oklahoma,73,186,4.64,38,4,124,6.28,3.94,N
DT,Oklahoma,74,310,4.96,28,25,107,7.89,4.96,N
ILB,Oklahoma,73,232,4.64,28.5,17,104,,,N
OG,Oklahoma,75,317,5.32,27.5,12,107,8.3,4.83,N
OLB,Oklahoma,71,227,4.8,30,23,116,7.3,4.46,N
OG,Oklahoma,76,338,5.74,,26,,,,N
CB,Oklahoma,74,205,4.58,36,,125,6.94,4.22,N
CB,Oklahoma State,73,202,4.62,,13,,,,N
WR,Oklahoma State,75,205,4.51,33.5,11,120,,,N
CB,Oklahoma State,73,189,4.52,34.5,19,120,,,N
DE,Oklahoma State,77,264,4.87,,20,,,,N
CB,Oklahoma State,70,181,4.58,35.5,14,121,6.94,4.31,N
DE,Old Dominion,76,273,,32,21,113,7.46,4.7,N
WR,Old Dominion,74,219,4.55,36,14,126,7.11,4.29,N
TE,Oregon,77,252,,,,,,,N
WR,Oregon,76,230,4.58,33,14,124,6.94,4.37,N
OL,Oregon,77,317,5.57,27,23,97,8.07,4.98,N
S,Oregon,69,199,4.51,32.5,18,115,7.21,4.19,N
LS,Oregon,73,243,5,30,18,111,7.26,4.28,N
TE,Oregon,78,255,,34,24,,,,N
QB,Oregon,71,200,4.83,29.5,,114,6.82,4.2,N
WR,Oregon,69,197,4.66,34.5,13,116,6.95,4.14,N
OT,Oregon,77,301,5.21,30.5,24,104,7.31,4.6,N
WR,Oregon,69,201,4.42,,17,,,,N
CB,Oregon,70,180,4.55,32.5,,120,6.81,4.21,N
OLB,Oregon,76,247,4.99,32.5,17,110,7.2,4.31,N
RB,Oregon State,74,232,4.58,33,15,122,6.95,4.16,N
WR,Oregon State,68,178,4.54,32,9,117,6.83,4.22,N
OL,Penn State,76,306,5.09,27,28,102,7.45,4.53,N
DL,Penn State,73,285,5.08,31,32,115,7.63,4.62,N
ILB,Penn State,73,239,,,19,,,,N
CB,Penn State,73,194,,,14,,,,N
CB,Penn State,69,190,4.44,34,15,119,6.51,3.94,N
DE,Penn State,75,261,4.9,28,20,105,7.21,4.41,N
K,Penn State,73,191,5.06,,,,,,N
OLB,Penn State,73,237,4.68,,31,,6.99,4.15,N
WR,Pittsburgh,68,192,4.5,32.5,12,120,6.89,4.28,N
OT,Pittsburgh,78,317,5.22,27,16,109,8.1,4.94,N
WR,Pittsburgh,74,211,4.43,38,15,129,7.24,4.41,N
P,Pittsburgh,77,217,,,,,,,N
TE,Pittsburgh,77,253,4.84,27,17,112,7.37,4.45,N
TE,Portland State,74,240,4.75,36.5,18,121,7,4.27,N
P,Portland State,74,221,5.08,,,,,,N
QB,Prairie View,76,248,4.99,31.5,,113,7.3,4.51,N
QB,Princeton,76,224,5,28,,109,7.13,4.37,N
DT,Purdue,76,301,5.37,,26,96,,,N
OL,Rhode Island,75,316,5.3,28,19,104,7.81,4.68,N
WR,Rhode Island,74,209,4.57,26.5,12,112,6.94,4.23,N
P,Rice,74,213,4.73,27.5,,114,,,N
ILB,Rutgers,73,241,4.78,32,19,116,7.5,4.56,N
P,Sam Houston State,76,209,4.98,,,,,,N
OT,San Diego State,79,320,,,25,,,,N
OT,San Diego State,78,312,5.21,30.5,18,108,7.75,4.76,N
S,San Diego State,74,200,4.66,33,9,120,6.94,4.28,N
TE,San Diego State,78,256,4.75,33,20,116,7.5,4.59,N
OT,San Diego State,77,273,,28,17,106,7.9,4.84,N
OG,San Diego State,75,321,5.2,21.5,28,98,8.07,4.98,N
OT,San Diego State,79,329,5.42,23,17,92,8.36,5.12,N
WR,San Diego State,73,218,4.68,27.5,17,110,7.35,4.58,N
CB,San Jose State,73,200,4.49,38,13,123,6.78,4.07,N
CB,San Jose State,71,188,4.68,35.5,,123,,,N
CB,San Jose State,73,198,4.73,32,19,117,,,N
QB,SE Louisiana,74,211,4.81,37,,125,7.13,4.2,N
TE,Shepherd,75,254,4.7,29,23,118,,,N
OT,Sioux Falls,78,309,5.12,33.5,16,114,7.61,4.7,N
S,SMU,73,209,4.71,33.5,21,118,,,N
WR,South Alabama,75,215,4.63,32.5,16,119,,4.66,N
QB,South Alabama,76,229,4.72,33,,110,7.18,4.37,N
TE,South Alabama,75,248,4.65,36,,119,7.29,4.49,N
P,South Carolina,76,195,,,,,,,N
RB,South Carolina,71,213,4.54,38,,127,,,N
LB,South Carolina,73,236,4.88,,14,,7.4,,N
OL,South Carolina,77,299,,28,24,103,,,N
CB,South Carolina,73,186,4.7,,,,,,N
OLB,South Carolina,74,226,4.73,36,,117,,,N
DT,South Carolina,74,312,5.28,23.5,18,101,7.95,4.75,N
RB,South Carolina,73,220,4.54,36.5,21,118,7.08,4.33,N
DT,South Carolina,73,304,5.19,30,29,106,7.78,4.71,N
OL,South Carolina State,80,308,5.09,25,21,116,7.77,4.79,N
OT,South Carolina State,79,332,,23.5,22,,,,N
CB,South Dakota State,73,201,4.51,39.5,13,128,,,N
WR,South Dakota State,76,221,4.67,34,9,114,7.24,4.37,N
FB,South Dakota State,71,223,4.6,41,25,121,7.08,4.14,N
TE,South Florida,75,247,4.88,31,,112,7.37,4.43,N
QB,South Florida,70,214,4.63,,,112,6.81,4.57,N
CB,Southern,70,185,4.44,35,15,123,,,N
WR,Southern Miss,73,212,4.56,34,13,123,,,N
DE,Southern Utah,75,248,4.82,31.5,21,111,6.8,4.31,N
OL,Stanford,75,335,5.41,24,29,90,8.15,5.04,N
CB,Stanford,73,191,4.6,36,9,121,6.7,4.15,N
OT,Stanford,77,307,,,,,,,N
DB,Stanford,74,205,,39,11,128,6.72,4.23,N
WR,Stanford,73,193,4.42,36.5,,129,6.77,4.19,N
K,Stanford,73,190,,,,,,,N
WR,Stanford,76,234,4.62,36,12,123,6.49,4.2,N
DE,Stephen F. Austin,76,283,4.75,33,26,113,7.36,4.48,N
RB,Stephen F. Austin,70,215,4.7,36.5,26,120,7.09,4.13,N
OT,Stony Brook,78,312,,,27,,,,N
DE,Stony Brook,73,246,4.86,32,,119,7.24,4.4,N
DL,Syracuse,75,257,4.95,32,,114,7.5,4.62,N
