Position,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted
TE,Montana State,76,253,4.74,35,23,124,7.1,4.33,Y
QB,North Carolina,74,222,4.67,27.5,,116,6.87,4.25,Y
WR,West Virginia,75,215,4.35,36.5,23,123,6.92,4.14,Y
OLB,Georgia,73,236,4.51,,,,,,Y
OLB,Georgia,78,244,4.6,39.5,,127,,,Y
DT,Florida State,76,336,5.28,,,,,,Y
C,Iowa,75,306,,30.5,21,108,7.29,4.4,Y
TE,Notre Dame,78,262,4.7,37,,123,7.44,4.41,Y
TE,Ashland,78,278,4.79,32.5,24,121,7.09,4.38,Y
CB,Utah,73,193,4.5,36.5,15,124,7.01,4.13,Y
WR,Memphis,71,201,,,22,,,,Y
OT,Kansas State,76,301,5.02,25.5,16,110,7.32,4.58,Y
C,Oregon,75,297,5.03,,,,,,Y
DE,Florida,75,285,4.93,32,23,116,7.31,4.56,Y
RB,Iowa State,70,222,4.63,28.5,15,121,,,Y
RB,Michigan State,73,208,4.42,34.5,,118,7.22,4.32,Y
S,Alabama,73,201,,,10,,,,Y
ILB,West Virginia,74,243,4.73,32,19,120,7.16,4.22,Y
LB,Western Kentucky,73,229,4.6,35,19,117,7.06,4.28,Y
RB,North Carolina A&T,66,179,4.42,31.5,11,118,,,Y
S,Miami (FL),73,199,4.64,36,17,123,,,Y
WR,Georgia,73,199,4.58,30.5,13,124,7.22,4.28,Y
S,Penn State,73,218,4.56,35.5,,122,7.09,4.03,Y
DT,Delaware,76,306,4.95,,29,,,,Y
OG,Kutztown Pennsylvania,75,309,5.36,27,21,102,8.13,4.73,Y
RB,Indiana,73,230,4.57,34,16,122,,,Y
DL,Tulsa,75,261,,,25,,,,Y
CB,Georgia Southern,70,191,4.44,39.5,22,133,7.14,4.28,Y
WR,Tulane,70,176,4.38,37,9,124,,,Y
EDGE,Utah,76,263,4.69,32.5,31,117,6.88,4.19,Y
OG,TCU,78,353,5.55,29.5,,,,4.77,Y
S,William & Mary,73,201,4.54,32.5,13,115,7.15,4.28,Y
WR,Georgia,75,215,4.53,33.5,,113,7,,Y
OT,Alabama,76,302,5.12,28,23,100,8.01,4.79,Y
QB,LSU,75,221,,,,,,,Y
OT,Texas A&M,77,306,4.98,,23,,,,Y
C,Ohio State,76,305,,,,,,,Y
CB,Houston,73,189,4.37,,10,116,,,Y
WR,Washington,71,188,4.22,37,,133,,,Y
WR,Clemson,76,216,,,,,,,Y
TE,Washington,77,255,4.71,33.5,,115,7.15,4.31,Y
OT,Oregon,78,306,5.01,32.5,25,,7.25,4.33,Y
WR,Pittsburgh,73,197,4.58,34,11,119,6.9,4.35,Y
LB,Wyoming,74,241,4.63,32,21,121,7.07,4.27,Y
LB,North Carolina State,74,240,4.57,32.5,24,116,,,Y
DE,Kansas State,76,255,4.53,39,24,125,6.85,4.28,Y
DE,Ohio State,77,270,,35,,116,6.84,4.32,Y
OLB,Texas,75,236,4.52,36,27,125,,,Y
TE,Rutgers,77,246,4.75,,17,,,,Y
ILB,Utah State,74,239,4.72,31.5,,115,6.73,4,Y
ILB,TCU,73,235,4.93,28,21,109,,4.49,Y
QB,North Carolina State,76,213,4.73,30.5,,116,7.2,4.2,Y
LB,Appalachian State,73,224,,,21,,,,Y
RB,Miami (FL),70,202,4.6,31.5,18,118,,,Y
