player,team,gp,mpg,fgm,fga,fg_pct,threepm,threepa,three_pct,ftm,fta,ft_pct,tov,pf,orb,drb,rpg,apg,spg,bpg,ppg,pick,conference,college,CollegeBudgetFile,latitude,longitude,ExpensesMensBasketball,RevenueMensBasketball
Miles Bridges,MSU,34,31.4,6.1,13.4,0.457,2.1,5.7,0.364,2.7,3.2,0.853,2,1.6,1.3,5.7,7,2.7,0.6,0.8,17.1,12,Big Ten,Michigan State,Michigan State University,42.7296495,-84.4815268,33928232,75545976
Quinndary Weatherspoon,MSU,34,34,6.3,12.3,0.508,1.6,4.1,0.396,4.4,5.4,0.809,2.9,2.1,1.3,3.4,4.7,2.8,1.7,0.3,18.5,49,SEC,Mississippi State,Mississippi State University,33.455202,-88.7882108,24026197,38035088
Henry Ellenson,MU,33,33.5,5.9,13.2,0.446,0.9,3.2,0.288,4.3,5.8,0.749,2.4,2.5,2.2,7.6,9.7,1.8,0.8,1.5,17,18,Big East,Marquette,Marquette University,43.0389659,-87.9280415,0,0
Dennis Smith,NCST,32,34.8,6,13.1,0.455,1.7,4.8,0.359,4.5,6.2,0.715,3.4,2.1,0.8,3.8,4.6,6.2,1.9,0.4,18.1,9,ACC,NC State,North Carolina State University at Raleigh,35.7863971,-78.6631364,23334366,45701857
Demetrius Jackson,ND,35,35.9,5.5,12.2,0.451,1.5,4.7,0.331,3.2,4,0.813,2.2,1.9,0.9,2.6,3.5,4.7,1.2,0.3,15.8,45,ACC,Notre Dame,University of Notre Dame,41.703084,-86.2389844,50201929,115510518
Jerian Grant,ND,38,37.1,5.4,11.2,0.478,1.3,4.2,0.316,4.5,5.7,0.78,2.2,2,0.3,2.7,3,6.7,1.7,0.5,16.5,19,ACC,Notre Dame,University of Notre Dame,41.703084,-86.2389844,50201929,115510518
Pat Connaughton,ND,38,35.6,4.4,9.4,0.466,2.4,5.8,0.423,1.3,1.7,0.781,1.2,2,1.1,6.3,7.4,1.5,0.7,0.9,12.5,41,ACC,Notre Dame,University of Notre Dame,41.703084,-86.2389844,50201929,115510518
Pascal Siakam,NMSU,34,34.6,8.1,15,0.538,0.1,0.4,0.2,4,5.9,0.678,2,2.7,3.9,7.7,11.6,1.7,1,2.2,20.2,27,WAC,New Mexico State,New Mexico State University-Main Campus,32.2824831,-106.7529053,8565863,8565863
D'Angelo Russell,OSU,35,33.9,6.6,14.7,0.449,2.7,6.6,0.411,3.4,4.5,0.756,2.9,2.1,1,4.7,5.7,5,1.6,0.3,19.3,2,Big Ten,Ohio State,Ohio State University-Main Campus,40.0007775,-83.0132446,60076743,115091304
Jawun Evans,OSU,32,29.2,6.6,15.1,0.438,1.1,3,0.379,4.8,6,0.812,2.8,2.3,0.8,2.7,3.4,6.4,1.8,0.1,19.2,39,Big 12,Oklahoma State,Oklahoma State University-Main Campus,36.1219844,-97.070567,24289694,52218241
Keita Bates-Diop,OSU,34,33.1,7.3,15.1,0.48,1.9,5.4,0.359,3.3,4.1,0.794,1.8,1.7,1.5,7.2,8.7,1.6,0.9,1.6,19.8,48,Big Ten,Ohio State,Ohio State University-Main Campus,40.0007775,-83.0132446,60076743,115091304
