Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Markus Terry,PC,31,23.5,2.7,6.8,0.4,0.8,2.6,0.305,1.6,2.5,0.641,1,1.1,0.4,1.8,2.2,1.3,0.5,0.1,7.8
Jadon Cohee,SEA,31,20.8,2.6,6.7,0.385,0.9,2.5,0.372,1.7,2.1,0.844,1.5,1.3,0.2,1.8,2,1,0.4,0,7.8
Bola Olaniyan,SIU,29,23.9,3,5.2,0.566,0,0,0,1.9,2.9,0.663,1.6,3.8,3,5.7,8.8,0.8,0.9,0.2,7.8
Dajuan Graf,NCCU,29,29.1,2.9,6.4,0.449,0.4,1.6,0.289,1.6,2.2,0.719,2.3,1.9,0.4,2.7,3,4,0.9,0,7.8
Cullen Russo,CSUF,34,25.5,2.7,6.5,0.416,0.4,1.7,0.211,2.1,3.1,0.654,1.2,3.1,1.6,4.4,6,1.7,1.8,0.6,7.8
Corey Baldwin,UND,33,21.2,2.6,6.5,0.402,1.6,4.3,0.366,1,1.6,0.642,1,1.8,0.7,2.7,3.4,1.1,1,0.2,7.8
Drake Lamont,WMY,32,23.5,3.2,6,0.534,0,0,0,1.4,2,0.677,1.1,2.6,1.9,2.7,4.6,1.1,0.5,0.6,7.8
Jourdan Stickler,HBU,31,22.9,2.7,6.9,0.393,1.7,3.9,0.443,0.6,0.8,0.833,1.1,1.5,0.6,1.4,2,1,0.5,0,7.8
Marcus Owens,LU,30,21.1,2.7,6.7,0.396,1.3,3.5,0.362,1.2,1.6,0.735,1.1,2.1,1.5,2.3,3.8,1.3,0.6,0.2,7.8
DeMondre Harvey,ULM,34,24.5,2.6,4.6,0.57,0,0,0,2.5,3.6,0.685,1.2,2.4,2.1,3.6,5.6,1.2,0.6,0.6,7.8
